CRIM,ZN,INDUS,AGE,DIS,PTRATIO,B,LSTAT,MEDV
0.12757,30.0,4.93,7.8,7.0355,16.6,374.71,5.19,23.7
0.11027,25.0,5.13,67.8,7.2255,19.7,396.9,6.73,22.2
0.25356,0.0,9.9,77.7,3.945,18.4,396.42,11.5,16.2
3.83684,0.0,18.1,91.1,2.2955,20.2,350.65,14.19,19.9
0.77299,0.0,8.14,94.4,4.4547,21.0,387.94,12.8,18.4
0.06911,45.0,3.44,30.8,6.4798,15.2,389.71,4.69,30.5
0.26938,0.0,9.9,82.8,3.2628,18.4,393.39,7.9,21.6
0.05789,12.5,6.07,21.4,6.498,18.9,396.21,8.1,22.0
0.19657,22.0,5.86,79.2,8.0555,19.1,376.14,10.15,20.5
0.22969,0.0,10.59,52.5,4.3549,18.6,394.87,10.97,24.4
0.19133,22.0,5.86,70.2,7.9549,19.1,389.13,18.46,18.5
7.36711,0.0,18.1,78.1,1.9356,20.2,96.73,21.52,11.0
0.57529,0.0,6.2,73.3,3.8384,17.4,385.91,2.47,41.7
1.25179,0.0,8.14,98.1,3.7979,21.0,376.57,21.02,13.6
0.46296,0.0,6.2,76.9,3.6715,17.4,376.14,5.25,31.7
6.44405,0.0,18.1,74.8,2.2004,20.2,97.95,12.03,16.1
3.32105,0.0,19.58,100.0,1.3216,14.7,396.9,26.82,13.4
0.24103,0.0,7.38,43.7,5.4159,19.6,396.9,12.79,22.2
5.70818,0.0,18.1,74.9,3.3317,20.2,393.07,7.74,23.7
0.22927,0.0,6.91,85.5,5.6894,17.9,392.74,18.8,16.6
4.42228,0.0,18.1,94.5,2.5403,20.2,331.29,21.32,19.1
0.07165,0.0,25.65,84.1,2.1974,19.1,377.67,14.27,20.3
0.06263,0.0,11.93,69.1,2.4786,21.0,391.99,9.67,22.4
0.09378,12.5,7.87,39.0,5.4509,15.2,390.5,15.71,21.7
0.43571,0.0,10.59,100.0,3.875,18.6,396.9,23.09,20.0
5.69175,0.0,18.1,79.8,3.5459,20.2,392.68,14.98,19.1
0.62356,0.0,6.2,77.7,3.2721,17.4,390.39,9.93,27.5
0.34109,0.0,7.38,40.1,4.7211,19.6,396.9,6.12,25.0
4.66883,0.0,18.1,87.9,2.5806,20.2,10.48,19.01,12.7
2.24236,0.0,19.58,91.8,2.422,14.7,395.11,11.64,22.7
8.26725,0.0,18.1,89.6,1.1296,20.2,347.88,8.88,50.0
0.06151,0.0,5.19,58.5,4.8122,20.2,396.9,9.29,18.7
0.0686,0.0,2.89,62.5,3.4952,18.0,396.9,6.19,33.2
0.21719,0.0,10.59,53.8,3.6526,18.6,390.94,16.03,22.4
0.01381,80.0,0.46,32.0,5.6484,14.4,394.23,2.97,50.0
0.59005,0.0,21.89,97.9,2.3274,21.2,385.76,11.12,23.0
0.10959,0.0,11.93,89.3,2.3889,21.0,393.45,6.48,22.0
0.10084,0.0,10.01,81.6,2.6775,17.8,395.59,10.16,22.8
12.0482,0.0,18.1,87.6,1.9512,20.2,291.55,14.1,20.8
0.00632,18.0,2.31,65.2,4.09,15.3,396.9,4.98,24.0
11.1081,0.0,18.1,100.0,1.1742,20.2,396.9,34.77,13.8
0.51183,0.0,6.2,71.6,4.148,17.4,390.07,4.73,31.5
0.0578,0.0,2.46,58.4,2.829,17.8,396.9,5.04,37.2
0.07886,80.0,4.95,27.7,5.1167,19.2,396.9,3.56,37.3
0.7842,0.0,8.14,81.7,4.2579,21.0,386.75,14.67,17.5
15.8744,0.0,18.1,99.1,1.5192,20.2,396.9,21.08,10.9
0.19539,0.0,10.81,6.2,5.2873,19.2,377.17,7.54,23.4
0.04819,80.0,3.64,32.0,9.2203,16.4,392.89,6.57,21.9
3.77498,0.0,18.1,84.7,2.8715,20.2,22.01,17.15,19.0
0.04337,21.0,5.64,63.0,6.8147,16.8,393.97,9.43,20.5
0.11432,0.0,8.56,71.3,2.8561,20.9,395.58,7.67,26.5
4.03841,0.0,18.1,90.7,3.0993,20.2,395.33,12.87,19.6
13.3598,0.0,18.1,94.7,1.7821,20.2,396.9,16.35,12.7
0.03961,0.0,5.19,34.5,5.9853,20.2,396.9,8.01,21.1
0.01096,55.0,2.25,31.9,7.3073,15.3,394.72,8.23,22.0
38.3518,0.0,18.1,100.0,1.4896,20.2,396.9,30.59,5.0
4.54192,0.0,18.1,88.0,2.5182,20.2,374.56,7.79,25.0
0.04417,70.0,2.24,47.4,7.8278,14.8,390.86,6.07,24.8
0.6147,0.0,6.2,80.8,3.2721,17.4,396.9,7.6,30.1
0.05059,0.0,4.49,48.0,4.7794,18.5,396.9,9.62,23.9
14.4208,0.0,18.1,93.3,2.0026,20.2,27.49,18.05,9.6
0.0136,75.0,4.0,47.6,7.3197,21.1,396.9,14.8,18.9
2.37857,0.0,18.1,41.9,3.724,20.2,370.73,13.34,20.6
0.03584,80.0,3.37,17.8,6.6115,16.1,396.9,4.67,23.5
0.07013,0.0,13.89,85.1,3.4211,16.4,392.78,9.69,28.7
0.2498,0.0,21.89,98.2,1.6686,21.2,392.04,21.32,13.3
0.14476,0.0,10.01,65.2,2.7592,17.8,391.5,13.61,19.3
0.05188,0.0,4.49,45.1,4.4272,18.5,395.99,12.86,22.5
0.11504,0.0,2.89,69.6,3.4952,18.0,391.83,11.34,21.4
4.64689,0.0,18.1,67.6,2.5329,20.2,374.68,11.66,29.8
9.2323,0.0,18.1,100.0,1.1691,20.2,366.15,9.53,50.0
0.03237,0.0,2.18,45.8,6.0622,18.7,394.63,2.94,33.4
0.04301,80.0,1.91,21.9,10.5857,22.0,382.8,8.05,18.2
0.03871,52.5,5.32,31.3,7.3172,16.6,396.9,7.14,23.2
0.10153,0.0,12.83,74.5,4.0522,18.7,373.66,11.97,20.0
3.1636,0.0,18.1,48.2,3.0665,20.2,334.4,14.13,19.9
1.38799,0.0,8.14,82.0,3.99,21.0,232.6,27.71,13.2
0.01439,60.0,2.93,18.8,6.2196,15.6,376.7,4.38,29.1
0.02498,0.0,1.89,59.7,6.2669,15.9,389.96,8.65,16.5
0.12579,45.0,3.44,29.1,4.5667,15.2,382.84,4.56,29.8
0.11425,0.0,13.89,92.4,3.3633,16.4,393.74,10.5,23.0
